,Name,Website,Description,Tags,Country,Computer,Phone,TwitterUsername
200,Mahmoud Ashraf,http://mahmoudashraf.dev/uses,"Front-End Developer, sometimes do backend stuff.","JavaScript, TypeScript, React, Node.js, GraphQL, Svelte",🇪🇬,linux,android,https://twitter.com/_22mahmoud
201,Daine Mawer,https://www.dainemawer.com/uses,"Experienced Front-end Developer based in Cape Town, South Africa.","React, TypeScript, Next.js, UX, Front End, Engineering Management, HTML5, CSS3, Web Performance, Web Developer",🇿🇦,apple,iphone,https://twitter.com/daine_mawer
202,Terry Godier,https://terrygodier.com/uses,A developer and marketer of fine internet products.,"Developer, Marketer, Writer, PHP, Laravel",🇺🇸,apple,iphone,https://twitter.com/terrygodier
203,Adrián Alcorta Puente,https://ardi.land/uses,"Frontend developer. I love mountains, Game Boys and Post-rock music.","JavaScript, React, TypeScript, CSS, Gatsby, JAMstack, Next.js",🇪🇸,apple,iphone,https://twitter.com/ardillan_
204,Yannick Le Roux,https://yannickleroux.com/uses,"Second career web dev, French living in San Diego, retired DJ.","Developer, Front End, TypeScript, JavaScript, React, Node.js, Redux, HTML, CSS",🇫🇷,apple,iphone,https://twitter.com/dj_yanic
205,Chris Jones,https://chrisjones.io/uses,"Full-time full-stack web developer. Part-time hiker, explorer, photographer.","Developer, Full Stack, Front End, HTML, CSS, JavaScript, PHP",🇨🇦,apple,iphone,https://twitter.com/chrisjonesio
206,Lucas Queiroz,https://lucasqueiroz.dev/uses.html,Backend Engineer working remotely.,"Backend, API, Python, Developer, Ruby, Ruby on Rails, Kotlin, Java",🇧🇷,apple,android,https://twitter.com/lucasqueiroz
207,Isaac Weber,https://www.webdevike.com/uses,"Full stack, GraphQL enthusiast","Developer, Front End, Full Stack, GraphQL, HTML, CSS, JavaScript, Vue.js, Node.js",🇺🇸,apple,iphone,https://twitter.com/webdevike
208,"Bumhan ""B"" Yu",https://bald.design/uses,"""B"" as in bald. Designer who writes code—with backgrounds in psychology and linguistics","Bald, Web Developer, Front End, JavaScript, TypeScript, Designer, Design Systems, UI/UX, JAMstack, Netlify, React, Gatsby, Next.js, Figma, SCSS, CSS, HTML, Styled-Components",🇺🇸,apple,iphone,https://twitter.com/baadaa
209,Neil Gupta,https://www.neil.gg/uses,Designed in California. Assembled in Chicago. I like to build things.,"JavaScript, Ruby, Full Stack, Remote, Developer",🇺🇸,apple,iphone,
210,Riley,https://riley-uses.netlify.app/,Software Developer,"JavaScript, Python, SQL, React, Django, Leaflet",🇿🇦,linux,android,
211,Christian Leo-Pernold,https://mazedlx.net/uses,Dad. Husband. BBQ Enthusiast. Full-Stack-Developer.,"Developer, Blogger, Speaker, PHP, Laravel, Livewire, Alpine.js, Javacript, Vue.js",🇦🇹,apple,iphone,https://twitter.com/mazedlx
212,Frédéric Harper,https://fred.dev/uses,Developer Advocate with a knack for public speaking & making videos,"Developer Relations, Public Speaking, Web, JavaScript, Node.js, Cats",🇨🇦,apple,iphone,https://twitter.com/fharper
213,Dick Wyn Yong,https://dickwyn.xyz/uses,"Software Engineer, Content Creator and Sustainability Enthusiast","Software Engineer, Developer, Front End, Accessibility, JavaScript, TypeScript, CSS, HTML, React, Angular, Blogger, Youtuber, Traveler",🇺🇸,apple,android,https://twitter.com/dickwyn
214,Dave Berning,https://daveberning.io/uses/,"Developer, author, rocker, Nintendo enthusiast. I also co-organize the CodePen Cincinnati Meetups.","JavaScript, TypeScript, HTML, CSS, Vue.js, Developer, Writer",🇺🇸,apple,iphone,https://twitter.com/daveberning
215,Matthew Tao,https://www.matthewtao.com/uses,Computer Science student who loves CSS. Focuses on the little things that make a website delightful.,"Front End, Developer, CSS, JavaScript, React, HTML, Svelte, Node.js, Gatsby, Web Developer, JAMstack",🇳🇿,windows,android,https://twitter.com/MatthewTao5
216,Nikola Đuza,https://pragmaticpineapple.com/uses,Nikola helps developers improve their productivity by sharing pragmatic advice & applicable knowledge on JavaScript and Ruby.,"Software Engineer, Developer, Writer, Front End, Backend, Full Stack, JavaScript, CSS, React, Ruby, Ruby on Rails, Speaker, Blogger, Teacher, Motorcycle",🇷🇸,apple,iphone,https://twitter.com/nikolalsvk
217,Austin Gil,https://austingil.com/uses/,📝 Writing about code and stuff at http://austingil.com; 🛠 Building Vuetensils & Particles CSS; 🎙 Hosting @theFnCall; 🐶 Loving http://instagr.am/nuggetthemighty,"Developer, Full Stack, Entrepreneur, Teacher, Youtuber, JavaScript, Vue.js, Node.js, GraphQL, CSS",🇺🇸,linux,android,https://twitter.com/stegosource
218,James Dewes,https://jamesdewes.com/uses/,"Full-stack developer, software and data engineer, Yorkshire, UK.","Web Development, WordPress, Shopify, HTML, CSS, JavaScript, Gulp, npm, SCSS, PHP, Python, Docker, Linux, Laravel, SQL, MySQL, C#, .NET, Vue.js, VS Code, Bootstrap, Bulma",🇬🇧,windows,android,https://twitter.com/jimdewes
219,Smakosh,https://smakosh.com/the-tech-tools-I-use,"Full stack JavaScript Developer, blogger and speaker.","Developer, Full Stack, Entrepreneur, Blogger, JavaScript",🇲🇦,apple,android,https://twitter.com/smakosh
220,Sal Ferrarello,https://salferrarello.com/uses/,Web Developer specializing in WordPress. Loves Git and Neovim. Good at metaphors and asking dumb questions.,"PHP, WordPress, JavaScript, React, Git, Vim, Neovim, tmux, zsh",🇺🇸,apple,iphone,https://twitter.com/salcode
221,Bob Reus,https://bobre.us/uses,"DevOps Engineer, eBook producer, Freediver, Buddhist","Developer, Full Stack, Backend, Problem Solver, DevOps, Python, Flask, Sanic, HTML, CSS, JavaScript, eBooks",🇳🇱,linux,android,https://twitter.com/bobreusNL
222,Edimar Calebe Castanho,https://blog.calebe.dev.br/uses.html,A passionate embedded systems developer from Brazil,"C, C++, Python, Node.js, Backend, Debian, Linux, FreeRTOS, Emacs, Git, GitHub, GitLab, DevOps, Software Developer, Embedded software developer",🇧🇷,linux,iphone,
223,Mauro Reis Vieira,https://mauroreisvieira.com/uses/,"Front End Developer, fully focused on JavaScript, React and Tailwind CSS","Front End, Developer, JavaScript, TypeScript, React, Node.js, CSS, TailWindCSS",🇵🇹,apple,iphone,https://twitter.com/mauroreisvieira
224,Tom (ttntm),https://ttntm.me/uses,Web developer from Austria,"Developer, Front End, Full Stack, JavaScript, Blogger, Serverless, Vue.js",🇦🇹,windows,android,https://twitter.com/thet0m
225,Shajan Jacob,https://shajanjacob.com/uses,"Software Engineer, extroverted introvert, storyteller and a maker.","Software Engineer, Full Stack, Maker, JavaScript, React, Node.js",🇮🇳,linux,android,https://twitter.com/shajanjacob
226,Nicky Meuleman,https://nickymeuleman.netlify.app/uses,"Web developer, F1 fan.","JavaScript, CSS, React, GraphQL, Gatsby, Developer, Blogger",🇧🇪,windows,android,https://twitter.com/NMeuleman
227,TaeHee Kim,https://roto.dev/uses,"Front-end Engineer, Bassist, Cat lover.","Front End, Full Stack, React, JavaScript, TypeScript, React Native, Node.js, Python, Serverless, Musician",🇰🇷,apple,android,https://twitter.com/winterwolf0412
228,Erno Salo,https://endormi.io/uses/,Full Stack Developer and Open Source Contributor,"Developer, Front End, Backend, JavaScript, Python, Node.js, Accessibility, SQL, Docker",🇫🇮,windows,android,https://twitter.com/_endormi
229,Andrew Healey,https://healeycodes.com/uses,"Software Engineer, Writer, Learner!","Software Engineer, Full Stack, JavaScript, Python, Writer",🇬🇧,apple,iphone,
230,Jeremy Lanssiers,https://www.jeremylanssiers.com/uses/,Full-stack developer-thinker-tinkerer. Preacher for the GNU/Linux Church.,"GNU/Linux, Bash, cURL, Nginx, JavaScript, NVM, npm, Node.js, Express.js, React, Next.js, SCSS, HTML, GitHub, Vercel, Docker, Kubernetes, YAML, Cloudflare, Let’s Encrypt, ddclient, Monokai Pro, Chrome DevTools, Lighthouse, Sublime Text Editor, Visual Studio Code",🇧🇪,apple,iphone,
231,Jae Toole,https://jaetoole.me/uses,"Laravel developer, AWS enthusiast, Kubernetes lover","PHP, Laravel, TypeScript, AWS, Backend, Next.js, React, Kubernetes",🇬🇧,apple,iphone,https://twitter.com/jaetooledev
232,Bram Smulders,https://bram.is/using,Front-end UI developer,"CSS, Front End, HTML, ITCSS, JavaScript, React, Eleventy, Svelte",🇳🇱,apple,iphone,https://twitter.com/bramsmulders
233,Amr Diab,https://www.amrdiab.dev/uses,"Web Developer, open-source enthusiast, gamer, and lifelong learner.","PHP, Laravel, Livewire, JavaScript, Linux, REST, SQL, Full Stack, Backend, Front End, Developer, Open Source Software, Illustrator, Photoshop, WordPress, Remote",🇬🇧,windows,android,https://twitter.com/AmrHdiab
234,Jeff Szuc,https://jeffszuc.com/uses,"UX Designer, Frontend Developer, Lifelong Learner.","CSS, JavaScript, React, Designer, Developer, UX, Accessibility",🇨🇦,apple,android,https://twitter.com/szuc
235,Vít Baisa,https://vit.baisa.cz/uses,Software engineer who likes removing code,"Software Engineer, Vim, Remote, Linux, Mentor, Musician, Photographer, Traveler, Blogger",🇨🇿,linux,iphone,https://twitter.com/vitbaisa
236,Christophe Querton,https://kertof.com/what-i-use,"Software Engineer, xoogler, co-founder of @accelery. Full-stack, technical debt collector. Lover of the Outdoors, BBQ, sailing.","Developer, Full Stack, Entrepreneur, JavaScript, Angular, Node.js, TypeScript, NestJS, CSS",🇧🇪,windows,android,https://twitter.com/kertof
237,Alejandro G. Anglada,https://aganglada.com/uses/,Dad 👪🔥⚡️ Web Engineer ⚛️🚀 Building websites with #react #typescript #nodejs #graphql 👌,"Engineer, Front End, Mentor, Youtuber, Writer, JavaScript, TypeScript, Performance, PWA, React, Node.js, CSS",🇪🇸,apple,iphone,https://twitter.com/aganglada
238,Emmanuel Gautier,https://www.emmanuelgautier.com/uses,Solution Architect & Fullstack Developer living in France. Tech enthusiast and Data Lover.,"Blogger, AWS, Developer, Docker, Gatsby, JAMstack, JavaScript, Node.js, React, Remote, TailWindCSS, Teacher, TypeScript, GraphQL, Performance, Architect, Vue.js, Open Source Software",🇫🇷,linux,android,https://twitter.com/gautier_manu
239,Paul Mowat,https://www.paulmowat.co.uk/uses/,A passionate developer who likes learning new technologies. Currently Principal DevOps Architect @ Advanced,"JavaScript, Programmer, Full Stack, Node.js, Next.js, TailWindCSS, Serverless, VS Code, Windows, AWS, DevOps",🇬🇧,windows,android,
240,Ruben Janssen,https://rubenjanssen.me/uses,"Front-end Developer, Gadget G33k, Guild Lead","Developer, Front End, UX Developer, JavaScript, CSS, Semantics, Vue.js, DevOps, Motorcycle",🇳🇱,apple,iphone,https://twitter.com/RubenJ
241,Lasha Tatulashvili,https://lashatatu.dev/uses,"Frontend DEV from Tbilisi, Georgia","Front End, JavaScript, React, Next.js, Node, HTML, CSS, SCSS, Styled Components, Sanity, Webstorm, IntelliJ",🇬🇪,windows,android,https://twitter.com/lashatatu
242,Celso Palmeira Neto,https://celsoneto.com.br/uses,Software Engineer focused on Backend development,"Tech Lead, Backend, Software Engineer, TypeScript, JavaScript, Node.js, Next.js, React",🇵🇹,linux,android,
243,Mohammed Sohail,https://www.msohail.dev/uses,"A full stack web developer developing web applications in Laravel/PHP alongside Next.js, Livewire and Inertia.","JavaScript, PHP, Developer, Full Stack, Entrepreneur, Vue.js, Laravel, Gamer, Livewire, AlpineJS, Next.js, Front End",🇹🇷,apple,iphone,https://twitter.com/itscrazybob
244,Alexander Sedeke,https://www.studioalex.dev/alexander/uses/,Software Engineer,"JavaScript, TypeScript, CSS, HTML5, Sass, PostCSS, MySQL, PostgreSQL, Oracle, MongoDB, Neo4J, Vue, Vite, Vitest, React, Angular, Svelte, Astro, GraphQL, Apollo, Koa, Fastify, Node, PHP, Laravel, Remote, Full Stack, Software Engineer, Solutions Architect",🇨🇿,apple,iphone,https://twitter.com/alexsedeke
245,Michał Miszczyszyn,https://typeofweb.com/michal-miszczyszyn-uses/,"Motivated full-stack developer not afraid to use any technology. Experienced developer and leader. He, him.","Developer, Full Stack, Entrepreneur, Teacher, Blogger, Speaker, Mentor, JavaScript, React, Node.js, TypeScript, Rust, ReasonML",🇵🇱,apple,iphone,https://twitter.com/mmiszy
246,Daniel Cefram Ramirez,https://rmrz.ph/uses/,I build things through code. I make short sentences to multiple paragraphs.,"Developer, Full Stack, Blogger, Node.js, JavaScript, TypeScript, Go, Swift, React, Svelte, Web Components, HTML, SCSS, CSS, MongoDB, SQL",🇵🇭,apple,iphone,https://twitter.com/dcefram
247,Matt Gregg,https://codegregg.com/uses,Front end software engineer. Baker. Woodworker. Musician. Nerd.,"Developer, Mentor, Full Stack, Architect, JavaScript, Accessibility, UX, React, Vue.js, Node.js, Gatsby, Django, Angular, Firebase, Elixir, TypeScript",🇺🇸,apple,iphone,https://twitter.com/itwasmattgregg
248,Nick Taylor,https://www.iamdeveloper.com/uses/,"Just some dev from Montreal, Quebec, Canada","JavaScript, Developer, React, Writer, TypeScript, Node.js, CSS",🇨🇦,apple,iphone,https://twitter.com/nickytonline
249,Joanna Hosking,https://joannahosking.com/uses,"Web developer, dog mom, football fanatic living in UK","CSS, Full Stack, GB, HTML, JavaScript, PHP, React, SCSS, VS Code, Web Developer, Web Development, WordPress",🇬🇧,apple,iphone,
250,Marcel Hauri,http://marcelhauri.ch/uses/,"Father, husband, software developer and lecturer in application development.","Lecturer, Coach, Developer, DevOps, Docker, Netlify, Google Cloud Platform, PHP, Magento, Laravel, Symfony, React, Next.js, Gatsby, TailWindCSS",🇨🇭,linux,iphone,https://twitter.com/mhauri
251,Jitendra Nirnejak,https://nirnejak.com/uses,"Developer, Designer and Blogger","Developer, Designer, Blogger, Node.js, React, Vue.js, Gatsby",🇮🇳,apple,iphone,https://twitter.com/jeetnirnejak
252,Lazar Miseljic,https://fuzzylogic.ltd/uses,"Front end, but doesn't mind taking a look round the back","Developer, Designer, Photographer, Full Stack, CSS, JavaScript, React, Gatsby, WordPress, SQL, Firebase, Directus, Netlify",🇷🇸,linux,android,
253,Andrew Gilliland,https://www.andrewgilliland.dev/uses/,"Web Developer, Co-Organizer Pensacola Devs, Certified Personal Trainer, Yacht Rocker, and Brand Ambassador for Blockbuster Video","HTML, CSS, JavaScript, React, Gatsby, Next.js, Node.js, MongoDB",🇺🇸,windows,iphone,https://twitter.com/droidgilliland
254,Luis Contreras,https://luiscontreras.dev/uses,Detail-oriented and passionate Software Engineer.,"Web Development, Developer, Front End, React, Node.js, CSS, HTML, JavaScript, Full Stack",🇩🇴,apple,android,https://twitter.com/devrasec
255,Dwayne Harris,https://dwayne.xyz/uses,Freelance web and app developer in NYC with over 15 years of professional experience.,"Developer, Programmer, Web Developer, TypeScript, JavaScript, React, HTML, CSS, Node.js, Go, SQL, PostgreSQL, iOS, Swift, macOS, Windows, Linux",🇺🇸,apple,iphone,https://twitter.com/arcatech
256,Ricardo Boss,https://ricardoboss.de/uses,Software Developer from Germany. Loves PHP and clean code.,"Developer, Full Stack, PHP, Symfony, Laravel, Elephox, HTML, CSS, JavaScript, Vue.js, C#, .NET",🇩🇪,windows,android,https://twitter.com/_ricardoboss
257,Ivan Santos,https://ivansantos.me/uses,"🍺 🤠 Node.js, Go, Terraform and Kubernetes. Distributed Systems FTW.","React, Node.js, Go, TypeScript, Terraform, Kubernetes",🇧🇷,apple,iphone,https://twitter.com/pragmaticivan
258,Bassem Allani,https://nextglabs.com/uses/,Senior Fullstack Engineer & Commercial Airline Pilot,"Next.js, React, MDX, TailWindCSS, ChakraUI, Vercel, Serverless, Full Stack, UI/UX, Figma, Design Systems, JavaScript, TypeScript, Front End, Instructor, Teacher, Course Maker",🇩🇪,apple,iphone,
259,Josh Manders,https://joshmanders.com/uses/,Indie Maker & Entrepreneur,"Entrepreneur, Indie Maker, JavaScript, TypeScript, Node.js, React, GraphQL, Kubernetes, TailWindCSS",🇺🇸,apple,iphone,https://twitter.com/joshmanders
260,Amit Merchant,https://www.amitmerchant.com/uses,Maker of things. Open-source enthusiast. Blogger. ,"Developer, Full Stack, Entrepreneur, Blogger, JavaScript, React, PHP, Laravel, CSS",🇮🇳,linux,android,https://twitter.com/amit_merchant
261,Sho Koike,https://putcut.net/uses,"Software Engineer, Gamer, Podcaster","Java, Spring Boot, Go, Next.js, TailWindCSS, VS Code, Vim, Docker, Dev Container, Ubuntu, GCP, Vercel, Obsidian",🇯🇵,windows,android,https://twitter.com/putcutt
262,Vincent Ramdhanie,https://vincentramdhanie.com/uses,"Software Developer, Lecturer, Technical Writer and Mentor","Developer, Full Stack, Lecturer, Mentor, React, Node.js, React Native, TailWindCSS, Gatsby, Machine Learning, Python",🇹🇹,apple,android,https://twitter.com/vramdhanie
263,Brandon Lim,https://justbrandonlim.com/uses,Software Engineer based in Singapore,"API, Backend, Developer, Front End, Full Stack, Git, GitHub, GraphQL, HTML/CSS, JavaScript, macOS, Markdown, MDX, Vercel, Node.js, npm, yarn, Open Source Software, React, REST, SEO, Serverless, Software Developer, Software Engineer, TypeScript, VS Code, Web Developer, Web Development, Computer Vision, .NET, Tailwind, Solutions Architect",🇸🇬,apple,iphone,https://twitter.com/JustBrandonLim
264,Marco Heine,https://marcoheine.com/uses/,Web developer from southern germany who loves to make fast and accessible websites and write about it.,"JavaScript, Developer, React, Node.js, TypeScript, Gatsby, Freelancer, Blogger",🇩🇪,apple,iphone,https://twitter.com/mkuehb
265,Jorge Ruvalcaba,https://jorgearuv.dev/uses,Software Engineer & Aspiring Entrepreneur who does things. Frontend at Vest,"JavaScript, Web Developer, Software Engineer, Frontend Engineer, React, React Native, TypeScript, Full Stack, Node.js, Engineer, Entrepreneur, AWS, Performance, Accessibility, UX, UI, Next.js",🇲🇽,apple,iphone,https://twitter.com/jorgearuv
266,Norbert Chmiel,https://github.com/Norbiox/uses,"Software Craftsman, Pythonista, Linux enthusiast.","Software Developer, Backend, Python, Linux, i3, Docker, Alacritty, DevOps, VS Code, SQL, MongoDB, Git, GitHub, Vim, REST, Flask, Markdown, Neovim, API, Bash, GitLab, Minimalist",🇵🇱,linux,android,
267,Eugene Oliveros,https://jinyuz.dev/uses,A Software Developer. A lazy software developer.,"Developer, Full Stack, Freelancer, HTML, CSS, Python, JavaScript, Ruby, JAMstack, Vim, Lazy, Django, Flask, Gatsby, React",🇵🇭,apple,android,https://twitter.com/yujinyuz_
268,Muhammad Oka,https://muhammadoka.dev/uses/,"Computer Science student, Cyber Security enthusiast.","Developer, Student, Web Development, Cyber Security, CTF, Python, JavaScript, C, Vercel, Next.js",🇮🇩,windows,android,
269,Gabriel Wilkes,https://azul.technology/uses/,"Full-stack developer who loves learning new things, American 10 years in Japan, soon back to the US","Developer, Full Stack, Node.js, JavaScript, GraphQL, Vue.js, JAMstack, Serverless, AWS, WordPress",🇯🇵,apple,android,https://twitter.com/gabriel_wilkes
270,Matt Litzinger,https://mlitzinger.com/uses/,Web Developer,"Web Development, Full Stack, WordPress, Accessibility, JavaScript, Vue.js, CSS",🇺🇸,windows,iphone,https://twitter.com/mattlitzinger
271,Ignatius Bagus,https://mauss.dev/uses,Software Alchemist,"Svelte, SvelteKit, TypeScript, JavaScript",🇮🇩,,,
272,Dominik Matis,https://dmatis.gitlab.io/uses,React dev 👻 Gatsby & Vue.js learner 👨‍💻 Syntax lover ❤️,"JavaScript, Developer, React, CSS, Front End, Gatsby, Vue.js, Backend, HTML, Node.js",🇸🇰,apple,android,https://twitter.com/Dominik82855196
273,Nick Janetakis,https://nickjanetakis.com/uses,"Freelance Web Developer, Web App Deployment, Tutorials, Technical death metal enthusiast","Developer, Full Stack, Freelancer, Teacher, Youtuber, Flask, Phoenix, Docker, DevOps",🇺🇸,windows,android,https://twitter.com/nickjanetakis
274,Toon Claes,https://iotcl.com/uses/,Class developer with passion for Git and Emacs,"Arch Linux, Backend, C, Git, GitLab, Go, Linux, Remote, Ruby, webdev",🇧🇪,linux,iphone,https://twitter.com/to1ne
275,Melanie Kat,https://melkat.blog/p/uses,Silly front-end engineer (she/her),"JavaScript, React, Node.js",🇺🇸,apple,iphone,https://twitter.com/zicklepop
276,Byurhan Beyzat,https://byurhanbeyzat.com/uses,Front-End Developer. Engineer. Occasional blogger.,"Blogger, Engineer, Developer, JavaScript, Full Stack, Front End, Backend, React",🇧🇬,apple,android,https://twitter.com/byurhanbeyzat
277,Nico Bachner,https://nicobachner.com/uses,Student. Developer. Entrepreneur.,"HTML, CSS, TypeScript, React, Next.js, Svelte, SvelteKit, TailWindCSS, CSS Modules, Fish Shell, Starship, Homebrew, Raycast, Safari, VS Code, GitHub, Vercel",🇱🇺,apple,iphone,https://twitter.com/nico_bachner
278,David O'Trakoun,https://www.davidosomething.com/uses/,Software Engineer,Developer,🇺🇸,linux,android,https://twitter.com/davidosomething
279,Daniel Flanagan,https://lyte.dev/uses,"Developer, platform engineer, and homelab administrator","Elixir, Phoenix, Rust, Go, TypeScript, TailWindCSS, Homelab, Linux, Arch Linux, NixOS, Kubernetes, Developer, Remote",🇺🇸,linux,android,https://twitter.com/lytedev
280,Kevin Woblick,https://www.kovah.de/uses/,I turn Pizza into Code and Photos,"Backend, Full Stack, DevOps, PHP, JavaScript, Python, Laravel, Vue.js, Docker, Blogger",🇩🇪,apple,android,https://twitter.com/kovah_kvh
281,Rohit Gohri,https://rohit.page/uses,"Full Stack Developer dabbling in DevOps, CI/CD","TypeScript, JavaScript, Developer, Full Stack, Node.js, GraphQL, DevOps, Gatsby",🇮🇳,linux,android,https://twitter.com/rohit_gohri
282,starter.place,https://www.starter.place/uses/,Starter repos,"Remix, React, TypeScript, TailWindCSS, Full Stack",🇺🇸,apple,iphone,https://twitter.com/starter_place
283,Dave Mullen Jnr,https://davemullenjnr.co.uk/uses,"Designer, photographer, developer, multi-instrumentalist, chess player, aspiring minimalist, environmentally friendly.","Designer, Photographer, Developer, JavaScript, React, Gatsby, CSS",🇬🇧,apple,iphone,https://twitter.com/davemullenjnr
284,Patrick Lee,https://patricklee.nyc/uses,"Software Engineer, Engineering Manager, and Productivity tool nerd","Software Engineer, Engineering Manager, Productivity tools, Frontend Developer",🇺🇸,apple,iphone,
285,Sebastian Försth,https://forsth.dev/uses,I am solving problems you did not know you had.,"Developer, Full Stack, Docker, VS Code, Programmer, Problem Solver",🇸🇪,apple,android,https://twitter.com/ForsthSebastian
286,Martín M.,https://uses.skydiver.dev/,Dad & Developer (former skydiver),"Developer, Software Engineer, Full Stack, Node.js, JavaScript, PHP, React, Vue.js, Laravel, Next.js, Nuxt, OctoberCMS, Gatsby, MySQL, MongoDB, FaunaDB, Electron",🇺🇾,apple,android,
287,Eduar Bastidas,https://mreduar.dev/uses/,Full Stack Web Developer,"PHP, Laravel, Inertia, Livewire, JavaScript, Windows, TailWindCSS, REST, MySQL, Full Stack, Backend, Front End, Developer, Prestashop, Remote",🇻🇪,windows,android,https://twitter.com/mreduar
288,Stephen Senkomago Musoke,https://ssmusoke.com/uses,"Software Engineer, eHealth Technologist, PHP Lover by night, Muganda, Goat Meat for Life, Coffee Drinker","Developer, Engineer, PHP, Java, OpenMRS, HTML, CSS",🇺🇬,apple,android,https://twitter.com/ssmusoke
289,Gyan Prakash Karn,https://karngyan.com/uses/,"Software Engineer, Tinkerer, Absurdist.","Developer, Go, Problem Solver, Full Stack, Engineer, Web Developer, Designer, UI, UX",🇮🇳,apple,android,https://twitter.com/gyankarn
290,Ben Shi,https://hbish.com/uses/,Full Stack. Engineering Leader. Believer of taking the time to learn and taking the time to teach.,"Full Stack, Java, Kotlin, Engineer, Backend, API, Performance, Architecture",🇦🇺,apple,android,https://twitter.com/hbish
291,Haseeb Majid,https://haseebmajid.dev/uses/,"Backend software engineer 💻, Linux enthusiast 🐧 and village cricketer 🏏","Backend, Neovim, Tmux, Python, Docker, Golang",🇬🇧,linux,android,
292,Glenn Reyes,https://glennreyes.com/uses,"Independent Software Engineer, trainer & speaker. Into sports & music.","Developer, Front End, Entrepreneur, Teacher, JavaScript, React, GraphQL, TypeScript, Speaker",🇦🇹,apple,iphone,https://twitter.com/glnnrys
293,Tom Gooden,https://tomgooden.net/uses,Born at a very young age. Front-end developer - UX/UI designer. 🐙,"Web Developer, Front End, JavaScript, Designer, Design Systems, UI/UX, JAMstack, React, Gatsby, Next.js, Figma, CSS, HTML, PHP, WordPress, Styled-Components, Gamer, SEO",🇺🇸,apple,iphone,https://twitter.com/good3n
294,Francisco Valloire,https://github.com/frajova/what-i-use,"Frontend developer, self-taught, enthusiastic and passionate about new technologies.","Web Development, Developer, Front End, React, CSS, HTML, JavaScript",🇦🇷,apple,android,https://twitter.com/frajova
295,Jana,https://janasundar.dev/uses,Full Stack Developer & Javascript Enthusiast,"Front End, Engineer, Developer, Designer, Next.js, JavaScript, TypeScript",🇮🇳,apple,iphone,https://twitter.com/jana__sundar
296,Krzysztof Żuraw,https://krzysztofzuraw.com/uses,"Developer, nerd, co-organizer, chemex lover","Developer, TypeScript, React, CSS, Gatsby, Blogger",🇵🇱,apple,iphone,https://twitter.com/krzysztof_zuraw
297,Isaac Wyatt,https://isaacwyatt.com/uses,"Aviator, Mountaineer, SAAS/Tech, Coder, GTD & PKM Nerd, SF Bay Area to Seattle, Angel & Advisor, BBA, MBA","API, GitHub, HTML, Windows, Markdown, Vercel, REST, Sass, SEO, Coder, VS Code, SQL, Python, C#, R, Low-Code, No-Code, JSON, Angel Investing, GTD, PKM, Aviator, Pilot, Marketer, Bald, HashiCorp, NewRelic, Google, Alphabet, vscode, Mountaineer, Seattle, SF Bay Area, BBA, MBA, FIRE, Motorcycles, Video Games",🇺🇸,windows,android,https://twitter.com/isaacwyatt
298,François Vantomme,https://code.strigo.cc/uses/,Software craftsman,"Architect, Awk, Developer, Git, GitLab, Linux, Neovim, PostgreSQL, RegEx, Remote, Ruby on Rails, Ruby, Shell, TailWindCSS, Vim, ZSH",🇫🇷,apple,android,
299,Josh Collinsworth,https://joshcollinsworth.com/uses,"Front end dev in love with all things Vue, Svelte, CSS, and WordPress. Works in Ruby on Rails.","Developer, Front End, JavaScript, CSS, WordPress, Vue.js, Designer, Speaker, Nuxt, Gridsome, Ruby, Blogger, Teacher",🇺🇸,apple,android,https://twitter.com/jjcollinsworth
300,Angélique Weger,https://angeliqueweger.com/uses,engineering manager :: adjunct prof :: always learning,"Accessibility, Blogger, CSS, Design Systems, Eleventy, Front End, JAMstack, JavaScript, React, Remote, Sass, Teacher, VS Code, Vue.js",🇺🇸,apple,android,https://twitter.com/messypixels
301,Lazar Nikolov,https://nikolovlazar.com/uses,"Full-Stack Engineer, DevRel, Live Streamer, Course Creator, Open Source Advocate. P.S. Check out nikolovlazar.com/gear to see the hardware that I use.","Web Developer, Full Stack, JavaScript, TypeScript, React, Content Creator, Course Creator, Live Streaming, Developer Advocate, Open Source Software, Streamer",🇲🇰,apple,iphone,https://twitter.com/NikolovLazar
302,Philip Boardman,https://brd.mn/uses/,"Software Engineering Manager, Full Stack Developer","HTML, CSS, JavaScript, React, GraphQL, Node.js, TypeScript, Full Stack, Remote, Vim, Git, Engineer, Developer, Mentor, Manager",🇦🇺,apple,iphone,https://twitter.com/pbrdmn
303,Marko Haberl,https://marko-haberl.com/uses,Fullstack Developer,"Developer, Full Stack, Web, Rust, Svelte, Angular, TypeScript, Java, Spring Framework, Vim",🇭🇷,linux,iphone,https://twitter.com/marko_haberl
304,Shiveen Pandita,https://shiveenp.com/uses/,Fullstack developer and blogger from Sydney,"JavaScript, Kotlin, Full Stack Developer, Vue.js, React, Writer",🇦🇺,apple,iphone,https://twitter.com/shavzer
305,Daniel Naxon,https://naxon.dev/uses,"Full Stack Developer, Laravel Artisan.","Blogger, Developer, Web Developer, Web Development, Web, Programmer, Full Stack, Backend, Laravel, PHP, JavaScript, Vue.js, AlpineJS, TailWindCSS, MySQL, Open Source Software",🇮🇱,apple,iphone,https://twitter.com/NaxonD
